DEBUG 2018-12-14 16:10:29,775 6660037ms CompressAttribute      OnResultExecuting  - El compresor esta funcionando mediante GZIP
DEBUG 2018-12-14 16:11:06,457 6696719ms AccountController      LogOff             - Usuario se desloguea
DEBUG 2018-12-14 16:11:06,469 6696731ms HomeController         Index              - Iniciando Index en Home Controller
DEBUG 2018-12-14 16:11:06,469 6696731ms CompressAttribute      OnResultExecuting  - El compresor esta funcionando mediante GZIP
DEBUG 2018-12-14 16:11:06,470 6696732ms CompressAttribute      OnResultExecuting  - El compresor esta funcionando mediante GZIP
DEBUG 2018-12-14 16:11:57,793 6748056ms AccountController      Login              - Usuaro inicio sesion
DEBUG 2018-12-14 16:12:03,459 6753721ms HomeController         Index              - Iniciando Index en Home Controller
DEBUG 2018-12-14 16:12:03,460 6753722ms CompressAttribute      OnResultExecuting  - El compresor esta funcionando mediante GZIP
DEBUG 2018-12-14 16:12:03,460 6753722ms CompressAttribute      OnResultExecuting  - El compresor esta funcionando mediante GZIP
DEBUG 2018-12-14 16:33:38,817 204793ms HomeController         Index              - Iniciando Index en Home Controller
DEBUG 2018-12-14 16:33:38,848 204824ms CompressAttribute      OnResultExecuting  - El compresor esta funcionando mediante GZIP
DEBUG 2018-12-14 16:33:38,851 204827ms CompressAttribute      OnResultExecuting  - El compresor esta funcionando mediante GZIP
DEBUG 2018-12-14 16:41:43,360 423980ms AccountController      Login              - Usuaro inicio sesion
DEBUG 2018-12-14 16:41:56,620 437239ms HomeController         Index              - Iniciando Index en Home Controller
DEBUG 2018-12-14 16:41:56,621 437240ms CompressAttribute      OnResultExecuting  - El compresor esta funcionando mediante GZIP
DEBUG 2018-12-14 16:41:56,622 437242ms CompressAttribute      OnResultExecuting  - El compresor esta funcionando mediante GZIP
DEBUG 2018-12-14 16:44:07,522   791ms HomeController         Index              - Iniciando Index en Home Controller
DEBUG 2018-12-14 16:44:07,546   815ms CompressAttribute      OnResultExecuting  - El compresor esta funcionando mediante GZIP
DEBUG 2018-12-14 16:44:07,550   819ms CompressAttribute      OnResultExecuting  - El compresor esta funcionando mediante GZIP
DEBUG 2018-12-14 16:44:20,103 13373ms TurnoController        Dispose            - Se elimino un turno
DEBUG 2018-12-14 16:44:23,380 16649ms HomeController         Index              - Iniciando Index en Home Controller
DEBUG 2018-12-14 16:44:23,381 16650ms CompressAttribute      OnResultExecuting  - El compresor esta funcionando mediante GZIP
